360000, 3.649574, 3.643683
360000, 3.610931, 3.603234
100, 0.046105, 0.045911
1000, 0.705673, 0.256756
1000, 0.062503, 0.053174
1000, 0.066714, 0.055291
1000, 0.078762, 0.063321
1000, 0.073445, 0.057058
1000, 0.077054, 0.056278
100, 0.055262, 0.049738
10, 0.050922, 0.050503
10, 0.047660, 0.047265
10, 0.046363, 0.045959
10, 0.048081, 0.047753
10, 0.048498, 0.048261
10, 0.050875, 0.050546
10, 0.048472, 0.048237
10, 0.047110, 0.046895
2, 0.048350, 0.048103
2, 0.047875, 0.047590
2, 0.047027, 0.046719
2, 0.047637, 0.047326
10, 0.048167, 0.047831
10, 0.046382, 0.046159
10, 0.046168, 0.045854
10, 0.046138, 0.045852
10, 0.052361, 0.044624
10, 0.048603, 0.048332
10, 0.044959, 0.044681
10, 0.048159, 0.047886
10, 0.047551, 0.047231
2, 0.048040, 0.047617
2, 0.051275, 0.050971
2, 0.046961, 0.046633
3, 0.047251, 0.046890
3, 0.050423, 0.050065
3, 0.049447, 0.049161
3, 0.045211, 0.044883
100, 2.286523, 0.492636
100, 2.359302, 0.183976
100, 0.063074, 0.051478
2, 0.042892, 0.042881
2, 0.048624, 0.048588
2, 0.046965, 0.046549
2, 0.044740, 0.044192
2, 0.047154, 0.046446
2, 0.044834, 0.044015
2, 0.049307, 0.048503
2, 0.048670, 0.047759
2, 0.049608, 0.048759
2, 0.046996, 0.046951
2, 0.050297, 0.050274
2, 0.047162, 0.047116
2, 0.045538, 0.045492
2, 0.046395, 0.046347
2, 0.043041, 0.042966
1600, 0.857451, 0.578501
2400, 1.199396, 0.826177
2400, 1.220692, 0.830309
8000, 3.746364, 2.564057
8000, 0.168328, 0.123068
800, 0.095355, 0.079246
8000, 0.178797, 0.145788
8000, 0.177302, 0.143557
8000, 0.164158, 0.131394
80000, 1.226519, 1.076908
8, 0.050909, 0.048611
8, 0.048487, 0.045323
8, 0.047841, 0.045029
8, 0.051659, 0.047881
8, 0.050184, 0.047073
8, 0.051133, 0.045577
8, 0.053230, 0.047441
8, 0.050958, 0.046043
8, 0.049786, 0.044200
8, 0.048068, 0.045647
8, 0.049135, 0.043699
8, 0.046961, 0.045349
8, 0.046238, 0.043209
8, 0.049060, 0.046753
8, 0.044534, 0.043785
8, 0.046532, 0.045590
