5, 0.000024, 0.000017
4, 0.000131, 0.000120
4, 0.000055, 0.000046
4, 0.000021, 0.000015
4, 0.000002, 0.000001
4, 0.000002, 0.000001
4, 0.000003, 0.000002
4, 0.000002, 0.000001
4, 0.000002, 0.000001
4, 0.000003, 0.000002
8, 0.000146, 0.000097
8, 0.000205, 0.000187
8, 0.000097, 0.000092
4, 0.000051, 0.000036
4, 0.000041, 0.000024
4, 0.000083, 0.000069
4, 0.000075, 0.000052
4, 0.000052, 0.000036
4, 0.000067, 0.000047
4, 0.000146, 0.000131
4, 0.000059, 0.000053
4, 0.000038, 0.000029
4, 0.000044, 0.000027
4, 0.000039, 0.000030
6, 0.000071, 0.000054
4, 0.000059, 0.000051
0, 0.000001, -0.000000
6, 0.000070, 0.000061
6, 0.000069, 0.000058
